ID,indicator,R1,G1,B1,R2,G2,B2,stdR,stdG,stdB,asymetry,border_irregularity,mean_distance
ISIC_0000049,0.4091138637028241,187,158,149,150,98,72,85.87131533121439,69.94249581788551,65.70142040518418,0.012808787746467954,0.10099082217135903,185.54821258517222
ISIC_0000051,0.27002952402385366,161,102,86,119,60,49,58.10405112204927,35.197321114868,29.668397107486516,0.0055486593904465415,0.004039981381716966,107.83491735387092
ISIC_0000053,0.37865262818127887,182,136,126,128,73,62,83.2047754589246,60.97509710259687,56.3993783624989,0.0944306314203758,0.07659161269920346,167.34465604487693
ISIC_0000054,0.201161785604426,149,108,86,125,76,52,47.80248988468288,32.370876342733695,24.619249120418957,0.006006863356682261,0.004865041159697795,102.41109797733357
ISIC_0000055,0.18885014370111436,154,122,108,132,87,70,68.9424043927528,52.644893020848066,46.422230718038485,0.003640978799849436,0.002679168068365337,184.25211914965948
ISIC_0000056,0.27470932290873823,174,145,131,152,106,77,80.9177218845514,64.11217933931198,55.95743346750455,0.10586221633986787,0.0770481912555741,158.5284844320162
ISIC_0000057,0.11919914247991621,164,89,75,159,71,51,55.095905175223436,27.561854386054783,21.999048796020784,0.08274843127784438,0.10766444319629138,91.8979657272148
ISIC_0000058,0.298075566731227,174,144,137,151,98,81,79.20395807700392,61.03871519355253,56.27144508306089,0.05731070669521086,0.12650071047485936,153.46852292669288
ISIC_0000059,0.4947698577299311,176,148,135,119,70,53,71.2837907724629,55.84278060609259,50.25708358577123,0.1282633102785068,0.14094282361826396,144.7550140331662
ISIC_0000061,0.14303653568771682,145,98,81,115,74,66,54.229704054262264,35.95346775087516,30.793100631067023,0.0061202702561633,0.005025871825469144,128.6115582960512
ISIC_0000062,0.16269042667128142,106,64,49,74,41,35,17.795239185942282,10.472396826504117,8.454922469473894,0.018613653668098043,0.01702694789108973,62.674679267146054
ISIC_0000063,0.3838479564038647,169,116,95,99,51,44,63.74684861285512,41.3589435150893,34.72169024434989,0.0022515706144313283,0.002201226437348995,166.72879853807882
ISIC_0000064,0.13664965132277668,128,69,55,98,43,38,48.537805280831705,24.466308838774623,20.492628936127662,0.0828332780449588,0.05840350145377982,125.9247727807845
ISIC_0000065,0.14107543205033424,109,66,52,80,47,41,36.359966650852414,21.8039609394728,17.94598461585912,0.06897344520607712,0.3079506709135999,115.97712230213793
ISIC_0000067,0.20529968566041804,121,86,73,86,51,45,41.01460985205504,27.49247018899266,23.77456872373831,0.005519868177249562,0.0036388722826505094,120.52238550253531
ISIC_0000074,0.42397194265920685,127,130,147,78,68,71,48.73697473222365,48.77350016782234,54.947660415321074,0.20613679630637738,0.3044375312530732,140.50646730671357
ISIC_0000075,0.1690559330550793,163,111,85,146,84,56,77.6464357103167,50.21066172810047,37.6629280691546,0.001179345847561904,0.0023499850252627964,170.10551509508704
ISIC_0000077,0.23938977306360318,171,147,163,162,109,115,78.1115588702342,60.419910846120686,66.04570841040598,0.1367511651814241,0.08472885459403848,142.7046928052635
ISIC_0000078,0.1552682567605237,143,106,81,130,82,51,33.34954906071262,22.985839613313832,16.42606307029401,0.032520464388174616,0.02279531480714192,66.95936732157334
ISIC_0000079,0.16129736674018372,120,78,57,136,103,87,19.56982936973437,13.870901062159835,11.165717779456916,0.17506571012936836,0.21052040900943997,39.58654979853536
ISIC_0000080,0.22650832948373564,118,58,19,63,27,11,30.13207391092724,14.554542915520152,5.975546854721425,0.036400723427512376,0.08307816932649568,88.18824580460348
ISIC_0000081,0.09726495083352982,182,116,88,194,145,126,45.56966959188764,32.997321480565496,28.191204735281257,0.10017266935153014,0.2267096709606382,63.036097278377675
ISIC_0000086,0.160347283977856,158,88,55,131,61,33,52.57926144063541,27.103024027924587,16.314050426723078,0.040150536941569615,0.2496524453355654,105.55397467494069
ISIC_0000087,0.27472182103053056,188,110,86,145,68,50,77.19604873737315,42.84654727715586,33.234159774110765,0.04694612450896282,0.2471884635988323,141.1690334041741
ISIC_0000088,0.25248296584739616,138,57,36,82,28,19,39.416984267071605,16.022762534209818,10.624308874031817,0.15413856963927317,0.19364414024341206,97.16939329580379
ISIC_0000089,0.3394937483772989,146,70,44,66,21,14,26.73954383393775,12.217948492434594,8.224596492046404,0.0031380750920936124,0.004437908354983956,105.91955792223645
ISIC_0000091,0.08646081410578951,202,144,133,198,132,114,56.7532898305729,39.01505383358579,34.897757747071665,0.037796800016858326,0.11152424988015441,74.25628632948231
ISIC_0000092,0.0801893750183959,161,89,82,151,75,69,33.4653495513346,17.92486064887957,16.575279164847384,0.04274752167225746,0.17268386694435145,55.21299385135827
ISIC_0000093,0.10215319006920356,118,41,24,135,58,42,30.877650162839068,12.070035291173909,8.19769903984157,0.010977238661529429,0.007132351097436216,65.12312354237694
ISIC_0000094,0.15198712731227712,181,114,80,168,89,52,28.139871066770326,16.363030328508817,10.78637283227785,0.09777722130271617,0.1905574978852516,41.79510112310953
ISIC_0000095,0.22403356541823444,135,71,45,98,36,18,23.258949005879675,11.068393234424244,6.878188405390542,0.1021865259531284,0.17488961733785988,50.955162071298886
ISIC_0000097,0.13028292220369964,145,80,70,99,52,47,42.41530050940613,23.22671415003873,20.60460279362116,0.05810143271182746,0.2356875491268482,104.02688708848065
ISIC_0000099,0.22889034025314428,161,97,75,191,146,125,79.59402139970908,53.89525151804379,45.00704667897494,0.07721289277973319,0.19912933770778837,142.12746589923896
ISIC_0000100,0.19490978271017675,186,158,145,111,75,73,61.5850342882084,47.386483060602565,44.93796832430412,0.06986451737507461,0.08002406759158776,136.6461078206535
ISIC_0000101,0.13983822167909915,124,94,84,140,119,105,60.637617484723165,49.12999739354402,43.592376276873686,0.006371870043475412,0.00759080100090294,152.736212194423
ISIC_0000102,0.1517235382999572,143,80,53,117,58,33,11.209972023676285,5.994559853145817,3.772316846025668,0.16175460442282602,0.22492280723339014,21.765348845656398
ISIC_0000103,0.29084903774973764,170,81,50,103,39,24,63.42123695950157,29.198937178136223,18.884437748736733,0.06684149675702748,0.08462083485800609,138.26913291461562
ISIC_0000104,0.1353894091189695,109,58,44,86,39,26,36.6739769320813,18.672658559556627,13.681458120970461,0.0771182849632471,0.1149909267886754,104.15914445162203
ISIC_0000105,0.19258164289191246,118,65,35,75,37,20,17.016733872376232,9.135186831910334,5.035784684624216,0.020515923986703835,0.01284001426919361,48.95663460765073
ISIC_0000107,0.27948407584673246,155,95,52,103,40,13,41.61672237882358,22.552438447403784,11.87359529319709,0.11190131346848016,0.21084594357019643,91.26345530364814
ISIC_0000108,0.2808118179032669,146,66,33,89,27,14,40.488295090153876,17.340683250898298,9.192395763114563,0.03319023580171733,0.06930093195076077,88.23443411230053
ISIC_0000109,0.26241314245250563,206,126,110,177,87,64,82.84571077335583,47.66794543577326,40.45167048197019,0.003733141574984028,0.002720137705805218,139.61939717003142
ISIC_0000110,0.14128829363510684,173,115,88,159,91,65,40.28267885204821,25.15781543009373,18.939699651404766,0.04050409406396693,0.19791157168790216,63.96065421411714
ISIC_0000111,0.2713864744722081,205,133,116,122,71,68,78.61680805672495,50.05797603989027,45.54224198502641,0.03366019271738495,0.18012604209353256,178.2051399329319
ISIC_0000112,0.19915618214743155,187,135,105,169,105,68,61.55940500803705,41.67486495738488,30.60618429069895,0.1061466986614819,0.10794266523836213,93.67553782123952
ISIC_0000116,0.27138138815792767,193,140,119,169,94,59,79.07142021270104,50.97715067933131,39.757375858989874,0.2527176126569599,0.19209008699448127,131.18921230134947
ISIC_0000117,0.31497378466902126,178,108,69,140,56,21,59.75535531225689,32.55501875589538,19.96864524726247,0.09548352949774853,0.08071445222730315,101.58948573665583
ISIC_0000120,0.21427049633899825,179,124,99,147,77,59,74.68414505657876,46.05582486492097,36.56267647469689,0.08241499982952367,0.07985527556032991,142.4418788024382
ISIC_0000121,0.06682979383907471,174,121,99,170,110,86,69.51011029105362,46.67134100358438,37.59418838637515,0.04063361665492944,0.08119845300806174,112.35755241324452
ISIC_0000124,0.21613376141289312,164,80,58,126,48,32,53.48440857852711,24.227571473916523,17.559347820449766,0.07598260842674615,0.11715023699645413,101.36784724763862
ISIC_0000125,0.09846020506018056,113,56,51,98,39,36,4.622200312717311,2.1538163693562336,1.979242689571488,0.11592381485063039,0.10235783180446272,9.837315259459201
ISIC_0000126,0.18105552581047848,133,89,69,103,60,43,44.853274040577695,28.33423484737442,21.670549077275535,0.03779402569827431,0.13788008996436898,105.65928121267561
ISIC_0000127,0.012310549856494405,182,140,157,132,78,77,84.5010019438724,65.3805350564599,72.71867368643476,0.050612675457771227,0.1654218426614182,145.73369231061793
ISIC_0000128,0.17403909261186343,135,66,27,105,38,10,35.98714122630724,16.353225035367068,6.549518335706954,0.007425843316817032,0.005207661057402854,75.98119575773119
ISIC_0000132,0.1289575272752515,182,91,62,168,70,40,24.386058917727215,11.186567932716041,7.20922296285066,0.09111679570720684,0.12013018545902328,34.837148377347305
ISIC_0000133,0.2268347005893319,131,50,23,164,88,55,43.9050932524725,22.084260870132173,13.495748315178512,0.09593607495477302,0.0828237946184689,75.56772229712254
ISIC_0000134,0.20123947745499737,116,75,53,73,39,27,19.84073530439197,12.14291468087714,8.624320078112541,0.10543708644842674,0.2453247353678762,58.45225400721483
ISIC_0000135,0.18383684952653248,117,75,59,73,51,45,21.69263893543546,14.503837276920095,12.132748889202379,0.07547468643685626,0.0829936816415912,59.047443613785276
ISIC_0000136,0.292558315047306,198,140,123,92,59,57,68.10885489104365,47.24346325597282,42.51887533654903,0.0975251028076016,0.1307736319350461,161.41500350650526
ISIC_0000138,0.17018298889620403,106,72,69,66,41,42,27.3118181186421,18.079281333999344,17.738741964620342,0.047690766474765965,0.09576805911526888,87.35692221903109
ISIC_0000139,0.24435334918256457,153,89,93,107,55,61,51.51227392423531,29.050174811530653,30.777918427685677,0.05752217191603248,0.07417730385795358,110.61851844952228
ISIC_0000140,0.17121376067864358,102,73,81,171,139,153,54.82535320119238,41.69276506922051,46.28015884770898,0.09625833844476801,0.08583418144941928,128.55345575514207
ISIC_0000142,0.371383919294433,152,106,97,82,56,50,55.00298440179129,38.1586048170889,35.13772155168745,0.04421270834807348,0.05227673418957432,132.25885076709395
ISIC_0000143,0.38612393018714947,171,131,101,122,70,41,61.36866286210484,44.30064237976369,33.487708081358285,0.055794055564225925,0.17873111191897542,115.05452737830227
ISIC_0000146,0.3250048839447604,166,98,110,150,40,52,73.12054827872832,38.50524247321531,43.30541385378912,0.06210861069586031,0.07073368760119692,133.89016186139943
ISIC_0000147,0.3844690376465057,185,132,140,124,73,79,82.92732843937085,58.074139843289046,62.0602773847943,0.03615957661813267,0.04522785906834938,156.4348560813653
ISIC_0000148,0.13288221552254592,106,58,61,51,34,37,20.821921507983042,12.378443855818807,13.351261778975983,0.09624077615723967,0.24405810600378222,77.73504809286817
